っりょ	rryo
っりゅ	rryu
っりゃ	rrya
っぴょ	ppyo
っぴゅ	ppyu
っぴゃ	ppya
っびょ	bbyo
っびゅ	bbyu
っびゃ	bbya
っほぅ	hhu
っふょ	ffyo
っふゅ	ffyu
っふゃ	ffya
っふぉ	ffo
っふぇ	ffe
っふぃ	ffi
っふぁ	ffa
っひょ	hhyo
っひゅ	hhyu
っひゃ	hhya
っどぅ	ddu
っでょ	ddyo
っでゅ	ddyu
っでゃ	ddya
っでぃ	ddi
っぢょ	jjo
っぢゅ	jju
っぢゃ	jja
っぢぇ	jje
っとぅ	ttu
ってょ	ttyo
ってゅ	ttyu
ってゃ	ttya
ってぃ	tti
っつぉ	ttso
っつぇ	ttse
っつぃ	ttsi
っつぁ	ttsa
っちょ	tcho
っちゅ	tchu
っちゃ	tcha
っちぇ	tche
っずぃ	zzi
っじょ	jjo
っじゅ	jju
っじゃ	jja
っじぇ	jje
っすぃ	ssi
っしょ	ssho
っしゅ	sshu
っしゃ	ssha
っしぇ	sshe
っぐゎ	ggwa
っぐぉ	ggwo
っぐぇ	ggwe
っぐぃ	ggwi
っぐぁ	ggwa
っぎょ	ggyo
っぎゅ	ggyu
っぎゃ	ggya
っくゎ	kkwa
っくぉ	kkwo
っくぇ	kkwe
っくぃ	kkwi
っくぁ	kkwa
っきょ	kkyo
っきゅ	kkyu
っきゃ	kkya
っゔょ	vvyo
っゔゅ	vvyu
っゔゃ	vvya
っゔぉ	vvo
っゔぇ	vve
っゔぃ	vvi
っゔぁ	vva
っろ	rro
っれ	rre
っる	rru
っり	rri
っら	rra
っぽ	ppo
っぺ	ppe
っぷ	ppu
っぴ	ppi
っぱ	ppa
っぼ	bbo
っべ	bbe
っぶ	bbu
っび	bbi
っば	bba
っほ	hho
っへ	hhe
っふ	ffu
っひ	hhi
っは	hha
っど	ddo
っで	dde
っづ	zzu
っぢ	jji
っだ	dda
っと	tto
って	tte
っつ	ttsu
っち	tchi
った	tta
っぞ	zzo
っぜ	zze
っず	zzu
っじ	jji
っざ	zza
っそ	sso
っせ	sse
っす	ssu
っし	sshi
っさ	ssa
っご	ggo
っげ	gge
っぐ	ggu
っぎ	ggi
っが	gga
っこ	kko
っけ	kke
っく	kku
っき	kki
っか	kka
っゔ	vvu
りょ	ryo
りゅ	ryu
りゃ	rya
みょ	myo
みゅ	myu
みゃ	mya
ぴょ	pyo
ぴゅ	pyu
ぴゃ	pya
びょ	byo
びゅ	byu
びゃ	bya
ふょ	fyo
ふゅ	fyu
ふゃ	fya
ふぉ	fo
ふぇ	fe
ふぃ	fi
ふぁ	fa
ひょ	hyo
ひゅ	hyu
ひゃ	hya
にょ	nyo
にゅ	nyu
にゃ	nya
どぅ	du
でょ	dyo
でゅ	dyu
でゃ	dya
とぅ	tu
てょ	tyo
てゅ	tyu
てゃ	tya
てぃ	ti
つぉ	tso
つぇ	tse
つぃ	tsi
つぁ	tsa
ちょ	cho
ちゅ	chu
ちゃ	cha
ちぇ	che
ずぃ	zi
じょ	jo
じゅ	ju
じゃ	ja
じぇ	je
すぃ	si
しょ	sho
しゅ	shu
しゃ	sha
しぇ	she
ぐゎ	gwa
ぐぉ	gwo
ぐぇ	gwe
ぐぃ	gwi
ぐぁ	gwa
ぎょ	gyo
ぎゅ	gyu
ぎゃ	gya
くゎ	kwa
くぉ	kwo
くぇ	kwe
くぃ	kwi
くぁ	kwa
きょ	kyo
きゅ	kyu
きゃ	kya
ゔょ	vyo
ゔゅ	vyu
ゔゃ	vya
ゔぉ	vo
ゔぇ	ve
ゔぃ	vi
ゔぁ	va
うぉ	who
うぇ	whe
うぃ	whi
うぁ	wha
つ	tsu
ち	chi
し	shi
を	wo
ゑ	we
ゐ	wi
わ	wa
ろ	ro
れ	re
る	ru
り	ri
ら	ra
よ	yo
ゆ	yu
や	ya
も	mo
め	me
む	mu
み	mi
ま	ma
ぽ	po
ぺ	pe
ぷ	pu
ぴ	pi
ぱ	pa
ぼ	bo
べ	be
ぶ	bu
び	bi
ば	ba
ほ	ho
へ	he
ふ	fu
ひ	hi
は	ha
の	no
ね	ne
ぬ	nu
に	ni
な	na
ど	do
で	de
づ	zu
ぢ	di
だ	da
と	to
て	te
た	ta
ぞ	zo
ぜ	ze
ず	zu
じ	ji
ざ	za
そ	so
せ	se
す	su
さ	sa
ご	go
げ	ge
ぐ	gu
ぎ	gi
が	ga
こ	ko
け	ke
く	ku
き	ki
か	ka
ゔ	vu
あ	a
い	i
う	u
え	e
お	o
ん	n
っ	_tsu
ゖ	_ke
ゕ	_ka
ゎ	_wa
ょ	_yo
ゅ	_yu
ゃ	_ya
ぉ	_o
ぇ	_e
ぅ	_u
ぃ	_i
ぁ	_a
